fil_1	filipino	"Akin na 'yan!" biglang agaw ni Karlo sa laruan ni Lara.	agaw	0.075	agaw	agaw	agaw	agaw	agaw	kuha	kuha	kuha	kinuwa	nakaw
fil_2	filipino	Isang agila ang kinaibigan ni Nanay.	agila	0.125	agila	agila	agila	agila	agila	agila	agila	agila	agila	lawin
fil_3	filipino	Sa takot na matangay ng agos ang anak ay agad-agad niya itong tinulungan.	agos	0.15	agos	agos	agos	agos	agos	daloy	daloy	daloy	daloy	daloy
fil_4	filipino	Ang grupo pala ng malaking si Enteng, akay ang mga balyan at sa saliw ng musika ay sumasayaw-sayaw.	akay	0.25	akay	akay	akay	akay	dala	dala	dala	dala	hawak	sama-sama
fil_5	filipino	At ang sigaw ng ale sa malaking bahay ay "Aaaaaeeeeeiiiii!"	ale	0.15	ale	ale	ale	ale	ale	babae	babae	ate	mama	tindera
fil_6	filipino	"Sino't alin sa dalawa ang inyong magiging asawa?" Sumagot na kapagkuwan si Don Pedrong tampalasan.	alin	0.05	alin	alin	alin	alin	alin	alin	alin	ano man	o	saan
fil_7	filipino	Pagkauwi ko noong isang araw ay binuksan ko na ang alkansiya ko.	alkansiya	0.375	alkansiya	alkansiya	alkansiya	alkansiya	alkansiya	alkansya	alkansya	alkansya	alkansiya	kabang-yaman
fil_8	filipino	Ipinapatawag siya ni Mama at pumupunta siya sa amin kapag may sakit ako.	amin	0.025	amin	amin	amin	amin	amin	amin	amin	amin	amin	tayo
fil_9	filipino	Karga-karga nga raw ako ni Nanay nang ihatid siya sa airport ng buong angkan namin.	angkan	0.275	pamilya	pamilya	pamilya	pamilya	pamilya	angkan	angkan	angkan	lahi	lahi
fil_10	filipino	Anuman ang mangyari at anuman ang marinig mo, huwag kang didilat at huwag kang lilingon.	anuman	0.25	anuman	anuman	anuman	anuman	anuman	anuman	anuman	anuman	ano	kahit ano
fil_11	filipino	At pagdating ng gabi, isinilid pa niya ako sa aparador ng mga pinaglumaang sapatos.	aparador	0.325	kabinet	kabinet	kabinet	kabinet	kabinet	kabinet	aparador	aparador	aparador	lagayan
fil_12	filipino	Di nalao'y natutuhan ang sa armas ay pagtangan.	armas	0.25	armas	armas	armas	armas	armas	armas	armas	armas	baril	sandata
fil_13	filipino	Ihatid mo ako sa kabila at kukunin ko ang aking atay sa aming bahay.	atay	0.1	atay	atay	atay	atay	atay	atay	atay	atay	atay	karne
fil_14	filipino	Kapag nahihirapan ako, nariyan palagi sina ate at kuya upang ako'y alalayan.	ate	0.025	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate
fil_15	filipino	Wala namang hurricane dito sa atin at wala namang nasalanta ngayon ng bagyo, lindol, o anuman.	atin	0.025	atin	atin	atin	atin	atin	atin	atin	atin	atin	amen
fil_16	filipino	"Kasi hindi ka naligo kagabi, ayan tuloy," sabi niya.	ayan	0.05	ayan	ayan	ayan	ayan	ayan	ayan	ayan	ayan	ayan	eto
fil_17	filipino	Pero ayaw pumayag ni Monang.	ayaw	0.025	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayaw	ayoko
fil_18	filipino	Nalimot ni Tuan Putli ang babala ng asawa.	babala	0.225	babala	babala	babala	babala	babala	paalala	paalala	pabala	paunawa	sinabi
fil_19	filipino	Kaya nang bahagya siyang kumilos, natibag ang kanyang tinutungtungan.	bahagya	0.475	dahan-dahan	dahan-dahan	dahan-dahan	kaunti	kaunti	kaunti	bahagya	bahagya	bigla	dahan
fil_20	filipino	Kapag ganitong bakasyon ay sinasamantala ni Arturo ang pagkakataon.	bakasyon	0.2	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	bakasyon	pahinga	pahinga
fil_21	filipino	Ang tubig sa balon ay lumalim nang dahan-dahan.	balon	0.15	balon	balon	balon	balon	balon	balon	balon	balon	bukal	poso
fil_22	filipino	Inilabas sa mga baul ang bandera ng Filipinas, at muli itong iwinagayway, katabi ang bandera ng Amerika.	bandera	0.3	watawat	watawat	watawat	watawat	watawat	bandera	bandera	bandera	bandila	bandila
fil_23	filipino	Nilibot niya ang buong lupain at nakita ang maraming bangkay sa paligid.	bangkay	0.325	patay	patay	patay	patay	patay	patay	patay	bangkay	bangkay	labi
fil_24	filipino	Nasa ibang bansa nagtatrabaho ang kaniyang ama, kaya lahat ng uri ng laruan ay mayroon siya.	bansa	0.075	bansa	bansa	bansa	bansa	bansa	bansa	bansa	bansa	lugar	nasyon
fil_25	filipino	May mga dalang baril ang mga bandido.	baril	0.05	baril	baril	baril	baril	baril	baril	baril	baril	baril	armas
fil_26	filipino	Mag-iisip kayo ng codename na bawal ipagkalat.	bawal	0.025	bawal	bawal	bawal	bawal	bawal	bawal	bawal	bawal	bawal	hindi pwede
fil_27	filipino	Ang bayong ni Nanay ay malaki at makulay.	bayong	0.175	bayong	bayong	bayong	bayong	basket	basket	lalagyan	lalagyan	sisidlan	supot
fil_28	filipino	Pitong munting kahel sa bibig ng aso.	bibig	0.025	bibig	bibig	bibig	bibig	bibig	bibig	labi	labi	bunganga	nguso
fil_29	filipino	Magrarampahan naman ang mga pantalon palda blusa at medyas.	blusa	0.325	blusa	blusa	blusa	blusa	blusa	blusa	blusa	damit	damit	bulsa
fil_30	filipino	Bakit ko nasabing bruha si Mrs.	bruha	0.25	bruha	bruha	bruha	bruha	bruha	bruha	bruha	mangkukulam	mangkukulam	mangkukulam
